state,district,name,state_rank,national_rank,college_readiness_score,tested_ap_ib,pass_ap_ib,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient,student_teacher_ratio,street_address,city,total_enrollment,total_economically_disadvantaged,receives_title_i_funding,ap_student_performance_participation_rate,ap_student_performance_participant_passing_rate,ap_student_performance_exam_per_test_taker,ap_student_performance_exam_pass_rate
Alabama,Birmingham City,Ramsay High School,#11,#1169,31.5,76.00%,19.00%,3.1,100%,0%,3.2,99.00%,1.00%,17:1,1800 13TH AVE SOUTH,"BIRMINGHAM, AL 35205",736,61.00%,No,76.00%,22.00%,2,19.00%
Alabama,Vestavia Hills City,Vestavia Hills High School,#12,#1208,30.7,33.00%,88.00%,3.5,99.00%,1.00%,3.5,98.00%,2.00%,15:1,2235 LIME ROCK RD,"VESTAVIA HILLS, AL 35216","1,821",8.00%,No,33.00%,90.0%,3.5,88.00%
Alabama,Athens City,Athens High School,#13,#1553,25,31.00%,77.00%,3.3,96.00%,4.00%,3.3,94.00%,6.00%,16:1,100 HWY 31 NORTH,"ATHENS, AL 35611",882,37.00%,No,31.00%,74.00%,1.9,77.00%
Alabama,Winfield City,Winfield High School,#14,#1638,23.4,56.00%,21.00%,3.3,92.00%,8.00%,3.3,95.00%,5.00%,17:1,232 PIRATE COVE,"WINFIELD, AL 35594",364,36.00%,Yes,56.00%,23.00%,1.7,21.00%
Alabama,Shelby County,Calera High,#15,#1809,21,39.00%,34.00%,3.2,93.00%,7.00%,3.1,91.00%,9.00%,16:1,8454 HWY 31 SOUTH,"CALERA, AL 35040",906,53.00%,No,39.00%,38.00%,2.3,34.00%
Alabama,Calhoun County,Alexandria High School,,,N/A,,,3.1,91.00%,9.00%,3.2,92.00%,8.00%,17:1,353 STADIUM DR,"ALEXANDRIA, AL 36250","1,000",48.00%,No,,,,
Alabama,Marengo County,Amelia L. Johnson High School,,,N/A,,,2.9,80.0%,20.0%,3,85.00%,15.00%,11:1,COATES ST,"THOMASTON, AL 36783",224,97.00%,Yes,,,,
Alabama,Arab City,Arab High School,,,N/A,,,3.3,97.00%,3.00%,3.2,93.00%,7.00%,16:1,511 ARABIAN DR NE,"ARAB, AL 35016",805,27.00%,No,,,,
Alabama,Houston County,Ashford High School,,,N/A,,,3.2,94.00%,6.00%,3,83.00%,17.00%,17:1,607 CHURCH ST,"ASHFORD, AL 36312",741,62.00%,No,,,,
Alabama,Lee County,Beauregard High School,,,8.8,13.00%,48.00%,3.3,98.00%,2.00%,3,86.00%,14.00%,14:1,7343 AL HWY 51,"OPELIKA, AL 36804",630,55.00%,No,13.00%,56.00%,1.6,48.00%
Alabama,Franklin County,Belgreen High School,,,N/A,,,3.1,86.00%,14.00%,3.3,90.0%,10.0%,10:1,14220 HWY 187,"RUSSELLVILLE, AL 35653",412,71.00%,Yes,,,,
Alabama,Mobile County Public Schools,Ben C Rain High School,,,5.4,22.00%,0%,3.1,96.00%,4.00%,3,94.00%,6.00%,16:1,3125 DAUPHIN ISLAND PARKWAY,"MOBILE, AL 36605",694,89.00%,Yes,22.00%,0%,2.4,0%
Alabama,Autauga County,Billingsley High School,,,N/A,,,2.9,78.00%,22.00%,3.1,84.00%,16.00%,16:1,2446 COUNTY RD 77,"BILLINGSLEY, AL 36006",675,67.00%,Yes,,,,
Alabama,Boaz City,Boaz High School,,,12.4,22.00%,30.0%,3.2,92.00%,8.00%,3.1,89.00%,11.00%,14:1,907 BROWN ST,"BOAZ, AL 35957",641,45.00%,No,22.00%,42.00%,1.9,30.0%
Alabama,Macon County,Booker T Washington High,,,1.9,6.00%,8.00%,2.9,84.00%,16.00%,2.7,71.00%,29.00%,18:1,3803 M L KING HWY,"TUSKEGEE, AL 36083",697,100%,Yes,6.00%,8.00%,1,8.00%
Alabama,Marion County,Brilliant High School,,,N/A,,,3,91.00%,9.00%,2.9,77.00%,23.00%,17:1,ODIS DICKENSON DR,"BRILLIANT, AL 35548",188,54.00%,No,,,,
Alabama,Marshall County,Brindlee Mountain High School,,,N/A,,,3.3,94.00%,6.00%,3,80.0%,20.0%,14:1,994 SCANT CITY RD,"GUNTERSVILLE, AL 35976",382,58.00%,Yes,,,,
Alabama,Ozark City,Carroll High School,,,N/A,,,3.1,92.00%,8.00%,3.1,87.00%,13.00%,19:1,455 FORREST AVE,"OZARK, AL 36360",737,59.00%,No,,,,
Alabama,Montgomery County,Carver Senior High School,,,N/A,,,3.2,95.00%,5.00%,3,95.00%,5.00%,21:1,2001 WEST FAIRVIEW AVE,"MONTGOMERY, AL 36108","1,320",82.00%,Yes,,,,
Alabama,Cherokee County,Cedar Bluff High School,,,N/A,,,3.1,93.00%,7.00%,3.3,93.00%,7.00%,15:1,3655 OLD HWY 9,"CEDAR BLUFF, AL 35959",609,70.0%,Yes,,,,
Alabama,Mobile County Public Schools,Cf Vigor High School,,,3.4,14.00%,0%,3,90.0%,10.0%,2.9,81.00%,19.00%,18:1,913 NORTH WILSON AVE,"PRICHARD, AL 36610",822,90.0%,Yes,14.00%,0%,1.7,0%
Alabama,Chilton County,Chilton County High School,,,5.3,9.00%,44.00%,3.1,86.00%,14.00%,3,82.00%,18.00%,17:1,1214 7TH ST SOUTH,"CLANTON, AL 35045",761,52.00%,No,9.00%,44.00%,1,44.00%
Alabama,Mobile County Public Schools,Citronelle High School,,,N/A,,,3.1,94.00%,6.00%,3,85.00%,15.00%,17:1,19325 ROWE ST,"CITRONELLE, AL 36522",785,72.00%,Yes,,,,
Alabama,Cleburne County,Cleburne County High School,,,17.2,37.00%,16.00%,3,81.00%,19.00%,2.9,77.00%,23.00%,17:1,520 EVANS BRIDGE RD,"HEFLIN, AL 36264",640,63.00%,No,37.00%,28.00%,2.6,16.00%
Alabama,Blount County,Cleveland High School,,,N/A,,,3.3,92.00%,8.00%,3,85.00%,15.00%,18:1,71 HIGH SCHOOL ST,"CLEVELAND, AL 35049",461,50.0%,Yes,,,,
Alabama,Houston County,Cottonwood High School,,,N/A,,,3.1,87.00%,13.00%,3,80.0%,20.0%,17:1,663 HOUSTON ST,"COTTONWOOD, AL 36320",742,72.00%,Yes,,,,
Alabama,DeKalb County School System,Crossville High School,,,N/A,,,3.1,90.0%,10.0%,2.9,78.00%,22.00%,16:1,5405 CO RD 28,"CROSSVILLE, AL 35962",878,73.00%,Yes,,,,
Alabama,Dale County,Dale County High School,,,N/A,,,3.1,91.00%,9.00%,3.1,86.00%,14.00%,15:1,COUNTY RD 59,"MIDLAND CITY, AL 36350",364,66.00%,No,,,,
Alabama,Decatur City,Decatur High School,,,14.5,26.00%,25.00%,3.2,92.00%,8.00%,3.1,87.00%,13.00%,14:1,1011 PROSPECT DR SE,"DECATUR, AL 35601","1,064",55.00%,No,26.00%,42.00%,3.3,25.00%
Alabama,Marshall County,Douglas High School,,,11.2,29.00%,13.00%,3.2,94.00%,6.00%,3,84.00%,16.00%,15:1,HWY 75,"DOUGLAS, AL 35964",526,64.00%,Yes,29.00%,19.00%,2.3,13.00%
Alabama,Eufaula City,Eufaula High School,,,12.8,19.00%,40.0%,3.1,92.00%,8.00%,3,82.00%,18.00%,17:1,530 LAKE DR,"EUFAULA, AL 36027",733,58.00%,No,19.00%,56.00%,2,40.0%
Alabama,Escambia County,Flomaton High School,,,N/A,,,3.3,95.00%,5.00%,3.2,92.00%,8.00%,16:1,21200 HWY 31,"FLOMATON, AL 36441",414,52.00%,No,,,,
Alabama,Florence City,Florence High School,,,15.7,23.00%,49.00%,3.3,95.00%,5.00%,3.2,89.00%,11.00%,16:1,1201 BRADSHAW DR,"FLORENCE, AL 35630",957,47.00%,No,23.00%,59.00%,3.2,49.00%
Alabama,Fort Payne City,Fort Payne High School,,,N/A,,,3,91.00%,9.00%,3.1,86.00%,14.00%,16:1,201 45TH ST NE,"FORT PAYNE, AL 35967",834,52.00%,Yes,,,,
Alabama,Washington County,Fruitdale High School,,,N/A,,,3,92.00%,8.00%,2.9,81.00%,19.00%,9:1,RAY COAKER RD,"FRUITDALE, AL 36539",421,63.00%,Yes,,,,
Alabama,Birmingham City,George Washington Carver High School,,,4.9,20.0%,0%,2.9,79.00%,21.00%,2.9,83.00%,17.00%,15:1,3900 24TH ST NORTH,"BIRMINGHAM, AL 35207",930,92.00%,Yes,20.0%,0%,3,0%
Alabama,Marion County,Hackleburg High School,,,N/A,,,3,91.00%,9.00%,3.1,94.00%,6.00%,18:1,189 SCHOOL ST,"HACKLEBURG, AL 35564",238,65.00%,No,,,,
Alabama,Roanoke City,Handley High School,,,7.5,21.00%,9.00%,3.1,86.00%,14.00%,2.9,79.00%,21.00%,17:1,158 WEST POINT ST,"ROANOKE, AL 36274",491,60.0%,Yes,21.00%,14.00%,1.6,9.00%
Alabama,Conecuh County,Hillcrest High School,,,9.6,36.00%,2.00%,2.9,82.00%,18.00%,3,86.00%,14.00%,14:1,1989 JAGUAR RD,"EVERGREEN, AL 36401",451,83.00%,Yes,36.00%,2.00%,1.3,2.00%
Alabama,Elmore County,Holtville High School,,,9.8,30.0%,7.00%,3.4,100%,0%,3.3,100%,0%,19:1,10425 HOLTVILLE RD,"DEATSVILLE, AL 36022",483,48.00%,No,30.0%,10.0%,2,7.00%
Alabama,Houston County,Houston County High School,,,N/A,,,3.1,91.00%,9.00%,2.9,79.00%,21.00%,17:1,202 WEST CHURCH ST,"COLUMBIA, AL 36319",374,80.0%,Yes,,,,
Alabama,Monroe County,J F Shields High School,,,N/A,,,3,92.00%,8.00%,3,96.00%,4.00%,9:1,17688 HWY 21 NORTH,"BEATRICE, AL 36425",126,91.00%,Yes,,,,
Alabama,Blount County,Jb Pennington High School,,,N/A,,,3.1,91.00%,9.00%,3.1,92.00%,8.00%,17:1,81 COLLEGE ST,"BLOUNTSVILLE, AL 35031",579,55.00%,Yes,,,,
Alabama,Mobile County Public Schools,John L Leflore Magnet School,,,6.1,21.00%,3.00%,3.1,96.00%,4.00%,2.9,79.00%,21.00%,16:1,700 DONALD ST,"MOBILE, AL 36617",921,84.00%,Yes,21.00%,7.00%,2.6,3.00%
Alabama,Coffee County,Kinston School,,,N/A,,,3.1,92.00%,8.00%,3.1,88.00%,12.00%,14:1,201 COLLEGE ST,"KINSTON, AL 36453",518,54.00%,Yes,,,,
Alabama,Lanett City,Lanett Senior High School,,,7.8,31.00%,0%,3.2,90.0%,10.0%,2.8,66.00%,34.00%,15:1,1301 SOUTH 8TH AVE,"LANETT, AL 36863",228,89.00%,No,31.00%,0%,2,0%
Alabama,Lauderdale County,Lexington School,,,9.7,25.00%,17.00%,3.3,100%,0%,3.2,94.00%,6.00%,17:1,101 SCHOOL ST,"LEXINGTON, AL 35648",902,44.00%,No,25.00%,18.00%,1.1,17.00%
Alabama,Crenshaw County,Luverne High School,,,N/A,,,3.1,90.0%,10.0%,3,83.00%,17.00%,15:1,194 FIRST AVE,"LUVERNE, AL 36049",887,65.00%,Yes,,,,
Alabama,Marion County,Marion County High School,,,N/A,,,3.2,97.00%,3.00%,3.1,89.00%,11.00%,17:1,8115 US HWY 43,"GUIN, AL 35563",235,57.00%,No,,,,
Alabama,Perry County,Marion High School,,,N/A,,,2.8,76.00%,24.00%,3,96.00%,4.00%,20:1,HWY 14 WEST,"MARION, AL 36756",444,99.00%,Yes,,,,
Alabama,Mobile County Public Schools,Mattie T Blount High School,,,1.9,8.00%,0%,2.9,87.00%,13.00%,2.9,80.0%,20.0%,17:1,5450 LOTT RD,"EIGHT MILE, AL 36613","1,213",89.00%,Yes,8.00%,0%,1,0%
Alabama,Winston County,Meek High School,,,N/A,,,3.1,79.00%,21.00%,3.2,85.00%,15.00%,18:1,6615 CO RD 41,"ARLEY, AL 35541",247,62.00%,No,,,,
Alabama,Mobile County Public Schools,Murphy High School,,,14.4,21.00%,34.00%,3.1,90.0%,10.0%,3.1,87.00%,13.00%,18:1,100 SOUTH CARLEN ST,"MOBILE, AL 36606","2,285",66.00%,Yes,21.00%,58.00%,3.3,34.00%
Alabama,Jackson County,North Sand Mountain School,,,N/A,,,3.1,87.00%,13.00%,3.2,88.00%,12.00%,15:1,29333 AL HWY 71,"HIGDON, AL 35979",712,64.00%,Yes,,,,
Alabama,Calhoun County,Ohatchee High School,,,N/A,,,3,86.00%,14.00%,3,88.00%,12.00%,20:1,100 CHEROKEE TRL,"OHATCHEE, AL 36271",485,58.00%,No,,,,
Alabama,Franklin County,Phil Campbell High School,,,N/A,,,3,88.00%,12.00%,3,83.00%,17.00%,15:1,809 SCHOOL ST,"PHIL CAMPBELL, AL 35581",357,64.00%,No,,,,
Alabama,Piedmont City,Piedmont High School,,,14.2,35.00%,20.0%,3.2,98.00%,2.00%,3.2,98.00%,2.00%,17:1,750 AL HWY 200,"PIEDMONT, AL 36272",342,60.0%,No,35.00%,21.00%,1.6,20.0%
Alabama,Jackson County,Pisgah High School,,,N/A,,,3.2,91.00%,9.00%,3,75.00%,25.00%,16:1,60 METCALF ST,"PISGAH, AL 35765",642,62.00%,Yes,,,,
Alabama,DeKalb County School System,Plainview School,,,N/A,,,3.2,96.00%,4.00%,3,83.00%,17.00%,14:1,76 CHAVIES RD,"RAINSVILLE, AL 35986","1,096",56.00%,Yes,,,,
Alabama,Covington County,Pleasant Home School,,,N/A,,,3.6,100%,0%,2.9,86.00%,14.00%,13:1,12548 FALCO RD,"ANDALUSIA, AL 36420",596,58.00%,Yes,,,,
Alabama,Tallapoosa County,Reeltown High School,,,N/A,,,3.1,87.00%,13.00%,3,84.00%,16.00%,18:1,4085 AL HWY 120,"NOTASULGA, AL 36866",772,68.00%,Yes,,,,
Alabama,Houston County,Rehobeth High School,,,N/A,,,3.2,95.00%,5.00%,3.3,95.00%,5.00%,18:1,373 MALVERN RD,"DOTHAN, AL 36301",706,43.00%,No,,,,
Alabama,Perry County,Robert C Hatch High School,,,N/A,,,2.9,90.0%,10.0%,3,87.00%,13.00%,15:1,THOMASTON RD,"UNIONTOWN, AL 36786",355,99.00%,Yes,,,,
Alabama,Russellville City,Russellville High School,,,N/A,,,3.2,93.00%,7.00%,3,85.00%,15.00%,15:1,1865 WATERLOO RD,"RUSSELLVILLE, AL 35653",671,61.00%,No,,,,
Alabama,Calhoun County,Saks High School,,,N/A,,,3,89.00%,11.00%,3.1,91.00%,9.00%,14:1,4401 SAKS RD,"ANNISTON, AL 36206",538,62.00%,No,,,,
Alabama,Choctaw County,Southern Choctaw High School,,,N/A,,,3,91.00%,9.00%,3,91.00%,9.00%,17:1,10941 HWY 17,"GILBERTOWN, AL 36908",418,70.0%,Yes,,,,
Alabama,Cherokee County,Spring Garden High School,,,N/A,,,3.3,93.00%,7.00%,3.1,93.00%,7.00%,12:1,2430 COUNTY RD 29,"SPRING GARDEN, AL 36275",559,57.00%,Yes,,,,
Alabama,Elmore County,Stanhope Elmore High School,,,14.9,33.00%,19.00%,3.1,94.00%,6.00%,3.2,96.00%,4.00%,19:1,4300 MAIN ST,"MILLBROOK, AL 36054","1,190",47.00%,No,33.00%,27.00%,2.3,19.00%
Alabama,Covington County,Straughn High School,,,N/A,,,3,88.00%,12.00%,3.2,93.00%,7.00%,15:1,29448 STRAUGHN SCHOOL RD,"ANDALUSIA, AL 36421",406,51.00%,No,,,,
Alabama,Hale County,Sunshine High School,,,N/A,,,3,100%,0%,3,85.00%,15.00%,12:1,3125 COUNTY RD 10,"NEWBERN, AL 36765",238,95.00%,Yes,,,,
Alabama,Marengo County,Sweet Water High School,,,N/A,,,3.3,100%,0%,3,83.00%,17.00%,13:1,440 MAIN ST,"SWEET WATER, AL 36782",676,62.00%,Yes,,,,
Alabama,DeKalb County School System,Sylvania School,,,N/A,,,3.1,88.00%,12.00%,3,82.00%,18.00%,14:1,133 1ST ST NW,"SYLVANIA, AL 35988",912,70.0%,Yes,,,,
Alabama,Thomasville City,Thomasville High School,,,9.1,16.00%,45.00%,3.1,93.00%,7.00%,3,82.00%,18.00%,13:1,777 GATES DR,"THOMASVILLE, AL 36784",480,60.0%,Yes,16.00%,44.00%,1.2,45.00%
Alabama,Brewton City,Tr Miller High School,,,13.2,28.00%,21.00%,3.1,93.00%,7.00%,3.2,91.00%,9.00%,13:1,1835 DOUGLAS AVE,"BREWTON, AL 36426",356,42.00%,No,28.00%,29.00%,2.4,21.00%
Alabama,Franklin County,Vina High School,,,N/A,,,3.3,100%,0%,2.9,83.00%,17.00%,11:1,8250 COUNTY RD 23,"VINA, AL 35593",329,71.00%,Yes,,,,
Alabama,Escambia County,W S Neal High School,,,N/A,,,3.1,89.00%,11.00%,3,84.00%,16.00%,14:1,801 ANDREW JACKSON ST,"EAST BREWTON, AL 36426",400,67.00%,No,,,,
Alabama,Jasper City,Walker High School,,,12.7,20.0%,39.00%,3.1,91.00%,9.00%,3.2,87.00%,13.00%,14:1,1601 HIGHLAND AVE,"JASPER, AL 35501",787,40.0%,No,20.0%,52.00%,1.9,39.00%
Alabama,Calhoun County,Wellborn High School,,,N/A,,,2.9,82.00%,18.00%,3,85.00%,15.00%,17:1,135 PINSON RD,"ANNISTON, AL 36201",549,71.00%,No,,,,
Alabama,Etowah County,West End High School,,,N/A,,,3.1,88.00%,12.00%,2.9,83.00%,17.00%,16:1,4515 ELM ST,"WALNUT GROVE, AL 35990",428,70.0%,Yes,,,,
Alabama,Wilcox County,Wilcox Central High School,,,N/A,,,3.2,93.00%,7.00%,3.2,89.00%,11.00%,16:1,1310 T L THREADGILL RD,"CAMDEN, AL 36726",562,99.00%,Yes,,,,
Alabama,Lauderdale County,Wilson High School,,,N/A,,,3.1,86.00%,14.00%,3.1,86.00%,14.00%,20:1,7601 HWY 17,"FLORENCE, AL 35634","1,282",57.00%,Yes,,,,
Alabama,Jackson County,Woodville High School,,,N/A,,,3.3,92.00%,8.00%,3.2,90.0%,10.0%,15:1,290 COUNTY RD 63,"WOODVILLE, AL 35776",556,68.00%,Yes,,,,
Alabama,Mobile County Public Schools,Wp Davidson High School,,,10.9,15.00%,50.0%,3.2,90.0%,10.0%,3.1,90.0%,10.0%,17:1,3900 PLEASANT VALLEY RD,"MOBILE, AL 36609","1,591",63.00%,Yes,15.00%,63.00%,2.8,50.0%
Alabama,Henry County,Abbeville High School,,Unranked,N/A,,,2.8,71.00%,29.00%,2.9,77.00%,23.00%,15:1,411 GRABALL CUTOFF,"ABBEVILLE, AL 36310",480,77.00%,Yes,,,,
Alabama,Winston County,Addison High School,,Unranked,N/A,,,3,94.00%,6.00%,3.1,94.00%,6.00%,16:1,151 SCHOOL RD,"ADDISON, AL 35540",316,58.00%,No,,,,
Alabama,Morgan County,Albert P Brewer High School,,Unranked,6.1,8.00%,70.0%,3,78.00%,22.00%,3,77.00%,23.00%,15:1,59 EVA RD,"SOMERVILLE, AL 35670",908,52.00%,No,8.00%,71.00%,1.2,70.0%
Alabama,Albertville City,Albertville High School,,Unranked,N/A,,,3.1,84.00%,16.00%,3,81.00%,19.00%,17:1,402 EAST MCCORD AVE,"ALBERTVILLE, AL 35950","1,022",49.00%,No,,,,
Alabama,Pickens County,Aliceville High School,,Unranked,N/A,,,2.9,84.00%,16.00%,2.8,71.00%,29.00%,15:1,417 3RD ST SE,"ALICEVILLE, AL 35442",293,93.00%,Yes,,,,
Alabama,Mobile County Public Schools,Alma Bryant High School,,Unranked,9.8,29.00%,6.00%,3,89.00%,11.00%,3,84.00%,16.00%,17:1,14001 HURRICANE BLVD,"IRVINGTON, AL 36544","1,635",61.00%,Yes,29.00%,12.00%,3.7,6.00%
Alabama,Andalusia City,Andalusia High School,,Unranked,N/A,,,3,86.00%,14.00%,3,85.00%,15.00%,16:1,701 THIRD ST,"ANDALUSIA, AL 36420",478,49.00%,Yes,,,,
Alabama,Anniston City,Anniston High School,,Unranked,2.6,8.00%,7.00%,2.7,67.00%,33.00%,2.8,74.00%,26.00%,18:1,1301 WOODSTOCK AVE,"ANNISTON, AL 36207",565,88.00%,Yes,8.00%,9.00%,1.3,7.00%
Alabama,Blount County,Appalachian High School,,Unranked,N/A,,,2.9,73.00%,27.00%,2.9,82.00%,18.00%,14:1,350 COUNTY RD 12,"ONEONTA, AL 35121",613,57.00%,Yes,,,,
Alabama,Limestone County,Ardmore High School,,Unranked,N/A,,,3.1,85.00%,15.00%,3.1,82.00%,18.00%,15:1,30285 ARDMORE AVE,"ARDMORE, AL 35739",946,40.0%,No,,,,
Alabama,Dale County,Ariton School,,Unranked,N/A,,,3.1,91.00%,9.00%,2.9,81.00%,19.00%,16:1,264 CREEL RICHRDSON RD,"ARITON, AL 36311",688,51.00%,Yes,,,,
Alabama,Marshall County,Asbury School,,Unranked,10.7,43.00%,0%,3,92.00%,8.00%,2.9,79.00%,21.00%,14:1,1990 ASBURY RD,"ALBERTVILLE, AL 35950",424,81.00%,Yes,43.00%,0%,2.2,0%
Alabama,St Clair County,Ashville High School,,Unranked,N/A,,,3,91.00%,9.00%,3,83.00%,17.00%,16:1,33215 US HWY 231,"ASHVILLE, AL 35953",378,58.00%,Yes,,,,
Alabama,Mobile County Public Schools,Augusta Evans Sch,,Unranked,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,5:1,100 NORTH FLORIDA ST,"MOBILE, AL 36607",263,79.00%,No,,,,
Alabama,Decatur City,Austin High School,,Unranked,9.8,15.00%,48.00%,3,82.00%,18.00%,3,85.00%,15.00%,13:1,1625 DANVILLE RD SW,"DECATUR, AL 35601","1,389",51.00%,No,15.00%,53.00%,3.2,48.00%
Alabama,Autauga County,Autaugaville School,,Unranked,N/A,,,2.7,67.00%,33.00%,2.9,81.00%,19.00%,12:1,2708 DUTCH BEND ST,"AUTAUGAVILLE, AL 36003",328,93.00%,Yes,,,,
Alabama,Mobile County Public Schools,Baker High School,,Unranked,13.7,19.00%,43.00%,3,88.00%,12.00%,3.1,87.00%,13.00%,20:1,8901 AIRPORT BLVD,"MOBILE, AL 36608","2,321",42.00%,No,19.00%,60.0%,3.7,43.00%
Alabama,Baldwin County,Baldwin County High School,,Unranked,1.6,4.00%,11.00%,3,91.00%,9.00%,3,85.00%,15.00%,19:1,ONE TIGER DR,"BAY MINETTE, AL 36507","1,144",46.00%,No,4.00%,18.00%,1.6,11.00%
Alabama,Barbour County,Barbour County High School,,Unranked,N/A,,,2.7,69.00%,31.00%,2.7,62.00%,38.00%,17:1,SOUTH MIDWAY EXIT,"CLAYTON, AL 36016",339,99.00%,Yes,,,,
Alabama,Talladega County,Bb Comer Memorial High School,,Unranked,N/A,,,3,86.00%,14.00%,2.8,75.00%,25.00%,17:1,801 SEMINOLE AVE,"SYLACAUGA, AL 35150",535,72.00%,No,,,,
Alabama,Alexander City,Benjamin Russell High School,,Unranked,12.7,27.00%,29.00%,3,77.00%,23.00%,3,75.00%,25.00%,17:1,225 HEARD BLVD,"ALEXANDER CITY, AL 35010","1,008",51.00%,No,27.00%,28.00%,2.3,29.00%
Alabama,Fayette County,Berry High School,,Unranked,N/A,,,2.7,64.00%,36.00%,2.9,83.00%,17.00%,15:1,18242 HWY 18 EAST,"BERRY, AL 35546",279,61.00%,Yes,,,,
Alabama,Bessemer City,Bessemer City High School,,Unranked,4,15.00%,2.00%,2.5,46.00%,54.00%,2.6,56.00%,44.00%,21:1,100 HIGH SCHOOL DR,"BESSEMER, AL 35022","1,166",84.00%,Yes,15.00%,3.00%,1.3,2.00%
Alabama,Lee County,Beulah High School,,Unranked,N/A,,,2.9,80.0%,20.0%,2.9,75.00%,25.00%,16:1,4848 LEE RD 270,"VALLEY, AL 36854",680,57.00%,No,,,,
Alabama,Bibb County,Bibb County High School,,Unranked,6.5,18.00%,8.00%,2.9,78.00%,22.00%,2.8,75.00%,25.00%,16:1,220 BIRMINGHAM RD,"CENTREVILLE, AL 35042",558,64.00%,Yes,18.00%,14.00%,1.9,8.00%
Alabama,Crenshaw County,Brantley High School,,Unranked,N/A,,,3,91.00%,9.00%,3.2,86.00%,14.00%,11:1,8879 NORTH MAIN ST,"BRANTLEY, AL 36009",588,58.00%,Yes,,,,
Alabama,Lauderdale County,Brooks High School,,Unranked,9,22.00%,18.00%,3,87.00%,13.00%,3.1,86.00%,14.00%,21:1,4300 HWY 72,"KILLEN, AL 35645",817,29.00%,No,22.00%,21.00%,2.1,18.00%
Alabama,Tuscaloosa County,Brookwood High School,,Unranked,7.5,15.00%,26.00%,3,89.00%,11.00%,3,83.00%,17.00%,18:1,15981 HWY 216,"BROOKWOOD, AL 35444",979,50.0%,No,15.00%,36.00%,1.5,26.00%
Alabama,Madison County,Buckhorn High School,,Unranked,27.6,42.00%,35.00%,3.1,91.00%,9.00%,3.2,90.0%,10.0%,18:1,4123 WINCHESTER RD,"NEW MARKET, AL 35761","1,275",28.00%,No,42.00%,54.00%,3.6,35.00%
